Business Name                                     City                                              Rating              

Starbucks                                         Phoenix                                           2                   
Starbucks                                         Charlotte                                         3.5                 
Starbucks                                         Las Vegas                                         2.5                 
Starbucks                                         Mississauga                                       2.5                 
Starbucks                                         Cleveland                                         1                   
Starbucks                                         Las Vegas                                         1                   
Starbucks                                         North Las Vegas                                   4                   
Starbucks                                         Las Vegas                                         2                   
Starbucks                                         Beachwood                                         3.5                 
Starbucks                                         Markham                                           3                   
Starbucks                                         Phoenix                                           3                   
Starbucks                                         Willoughby                                        4                   
Starbucks                                         Calgary                                           3.5                 
Starbucks                                         Toronto                                           4                   
Starbucks                                         Las Vegas                                         2.5                 
Starbucks                                         Pittsburgh                                        2.5                 
Starbucks                                         Toronto                                           3                   
Starbucks                                         Mesa                                              3.5                 
Starbucks                                         Mesa                                              1                   
Starbucks                                         Las Vegas                                         3                   
Starbucks                                         Peoria                                            3                   
Starbucks                                         Mesa                                              3.5                 
Starbucks                                         Las Vegas                                         2.5                 
Starbucks                                         Phoenix                                           3.5                 
Starbucks                                         Mississauga                                       5                   
Starbucks                                         Brampton                                          4.5                 
Starbucks                                         Pittsburgh                                        4                   
Starbucks                                         Saint-Sauveur                                     3.5                 
Starbucks                                         Toronto                                           4                   
Starbucks                                         Las Vegas                                         3                   
Starbucks                                         Tempe                                             3                   
Starbucks                                         Toronto                                           3                   
Starbucks                                         Toronto                                           2.5                 
Starbucks                                         Calgary                                           4                   
Starbucks                                         Phoenix                                           4                   
Starbucks                                         Montréal                                          4                   
Starbucks                                         Las Vegas                                         2.5                 
Starbucks                                         Chargrin Falls                                    3.5                 
Starbucks                                         Charlotte                                         3.5                 
Starbucks                                         Las Vegas                                         3.5                 
Starbucks                                         Carefree                                          5                   
Starbucks                                         Las Vegas                                         3.5                 
Starbucks                                         Gilbert                                           2                   
Starbucks                                         North York                                        4.5                 
Starbucks                                         Henderson                                         1.5                 
Starbucks                                         Las Vegas                                         3                   
Starbucks                                         Pittsburgh                                        3.5                 
Starbucks                                         Phoenix                                           3                   
Starbucks                                         Aurora                                            3                   
Starbucks                                         Mississauga                                       2.5                 
Starbucks                                         Las Vegas                                         2                   
Starbucks                                         Henderson                                         3.5                 
Starbucks                                         Toronto                                           3.5                 
Starbucks                                         North York                                        3.5                 
Starbucks                                         Las Vegas                                         2.5                 
Starbucks                                         Thornhill                                         3                   
Starbucks                                         Las Vegas                                         3                   
Starbucks                                         Montréal                                          3.5                 
Starbucks                                         Cleveland                                         3                   
Starbucks                                         Toronto                                           3.5                 
Starbucks                                         Wexford                                           2.5                 
Starbucks                                         Charlotte                                         3                   
Starbucks                                         Las Vegas                                         2.5                 
Starbucks                                         Toronto                                           3                   
Starbucks                                         Surprise                                          3.5                 
Starbucks                                         Phoenix                                           2                   
Starbucks                                         Cleveland                                         2                   
Starbucks                                         Westlake                                          3.5                 
Starbucks                                         Mississauga                                       3.5                 
Starbucks                                         Phoenix                                           4                   
Starbucks                                         Calgary                                           3.5                 
Starbucks                                         Montréal                                          3                   
Starbucks                                         Monroe                                            4                   
Starbucks                                         Scottsdale                                        1.5                 
Starbucks                                         Akron                                             4                   
Starbucks                                         Las Vegas                                         3                   
Starbucks                                         Chandler                                          2                   
Starbucks                                         Toronto                                           3                   
Starbucks                                         Calgary                                           4                   
Starbucks                                         Cuyahoga Falls                                    4                   
Starbucks                                         Mississauga                                       4                   
Starbucks                                         Toronto                                           4.5                 
Starbucks                                         Phoenix                                           3                   
Starbucks                                         Toronto                                           4.5                 
Starbucks                                         Phoenix                                           2.5                 
Starbucks                                         Toronto                                           3                   
Starbucks                                         Mont-Royal                                        3.5                 
Starbucks                                         Charlotte                                         2.5                 
Starbucks                                         Phoenix                                           3.5                 
Starbucks                                         Calgary                                           3                   
Starbucks                                         Solon                                             3.5                 
Starbucks                                         Gilbert                                           4.5                 
Starbucks                                         Akron                                             3                   
Starbucks                                         Gilbert                                           3.5                 
Starbucks                                         Toronto                                           3                   
Starbucks                                         Las Vegas                                         3.5                 
